sentence;category
Grabbed a smoothie after gym;food
Paid for skin treatment;health
Paid for uber drive;transport
Bought a subway card;transport
Purchased a city bus pass;transport
Paid the property tax;housing
Paid for museum entry;leisure
Bought a new table;housing
Paid for email newsletter subscription;subscription
Bought probiotics;health
Paid for freelance platform fee;subscription
Bought craft materials;leisure
Bought a burger and fries;food
Bought gaming console games;leisure
Picked up lunch at a food truck;food
Bought kitchen supplies;housing
Picked up fast food on the way home;food
Paid gympass subscription;health
Grabbed some chips;food
Bought concert tickets;leisure
Paid for music streaming app;subscription
Had dinner at a steakhouse;food
Paid for online TV service;subscription
Picked up burritos for dinner;food
Bought cheese and crackers;food
Paid for a shared ride;transport
Bought new curtains;housing
Bought storage boxes;housing
Bought a trash bin;housing
Paid for a long-distance taxi;transport
Bought a one-way ticket;transport
Bought home decor items;housing
Paid for spa therapy;health
Paid monthly rent;housing
Bought a wall clock;housing
Picked up sushi rolls;food
Paid for physiotherapy equipment;health
Paid for an escape room;leisure
Paid for game streaming service;subscription
Paid for acupuncture session;health
Paid for a night bus ride;transport
Bought theater tickets;leisure
Bought antibacterial soap;health
Bought a yoga class ticket;leisure
Bought dental care kit;health
Bought frozen meals at the supermarket;food
Paid for motorcycle fuel;transport
Bought first aid supplies;health
Bought a loaf of bread;food
Paid for a wine tasting event;leisure
Bought a ticket for a play;leisure
Paid for writing tool subscription;subscription
Bought an air freshener;housing
Bought chocolate bars;food
Paid for transfer to airport;transport
Bought a table lamp;housing
Paid for doctor consultation;health
Bought a knee brace;health
Picked up seafood for dinner;food
Bought glucose monitor;health
Breakfast at a local cafe;food
Bought a train ticket;transport
Filled up the car with gas;transport
Bought boat ride ticket;transport
Paid Netflix subscription;subscription
Picked up tacos for lunch;food
Paid for YouTube Premium;subscription
Paid for an eye exam;health
Paid for delivery scooter;transport
Bought inhaler;health
Bought rugs for living room;housing
Picked up snacks from a convenience store;food
Paid for photo editing software;subscription
Bought festival entry pass;leisure
Bought board games;leisure
Paid for stock market app;subscription
Paid for a meditation app;subscription
Bought instant noodles;food
Bought herbal supplements;health
Bought multivitamins;health
Went to the zoo;leisure
Bought light bulbs;housing
Paid the water bill;housing
Ordered food on a delivery app;food
Bought a plane ticket;transport
Bought tourist city transport pass;transport
Bought a ticket to a ballet;leisure
Paid for podcast subscription;subscription
Paid for video conferencing plan;subscription
Paid for home cleaning service;housing
Went to a dance class;leisure
Bought a train pass;transport
Paid for mental health counseling;health
Bought a door lock;housing
Paid for carpool ride;transport
Paid for alternative therapy;health
Paid for horse riding;leisure
Bought a blood pressure monitor;health
Bought bandages;health
Paid for a ride to the office;transport
Paid for SaaS service;subscription
Bought bottled water at a kiosk;food
Had dinner at a sushi place;food
Bought new dining chairs;housing
Went to a sports bar;leisure
Paid for Audible membership;subscription
Grabbed a quick snack at a gas station;food
Bought cinema snacks;leisure
Went to a gaming arcade;leisure
Bought cleaning products;housing
Paid for online backup service;subscription
Bought a new AC remote;housing
Paid for virtual gym membership;subscription
Paid for a magazine subscription;subscription
Bought parking pass;transport
Bought movie tickets;leisure
Bought e-scooter unlock fee;transport
Paid for limousine ride;transport
Paid for weight loss program;health
Bought home repair tools;housing
Bought a new fan;housing
Bought dishwashing liquid;housing
Bought omega-3 supplements;health
Bought laundry detergent;housing
Bought some fresh fruits;food
Had breakfast at a diner;food
Went to the aquarium;leisure
Bought highway toll;transport
Bought home fragrance;housing
Paid for a premium weather app;subscription
Paid for appliance repair;housing
Bought medical gloves;health
Bought a new bed frame;housing
Bought milk and eggs;food
Bought dental floss and mouthwash;health
Paid for shared taxi;transport
Bought sofa cushions;housing
Grabbed a coffee at Starbucks;food
Bought pool table tokens;leisure
Grabbed fresh juice;food
Paid for karaoke booth;leisure
Bought prescription medicine;health
Paid for luggage on flight;transport
Paid for telemedicine session;health
Bought books for reading;leisure
Paid the maintenance fee;housing
